Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3459154, 'date_of_service': '2023-10-30', 'service': 'CP98aSCs'}, 'record_id': 48, 'record_count': '49/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3501867, 'date_of_service': '2023-10-30', 'service': 'CP98aSCs'}, 'record_id': 49, 'record_count': '50/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4106336, 'date_of_service': '2023-10-30', 'service': 'CP98aSCs'}, 'record_id': 50, 'record_count': '51/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3493987, 'date_of_service': '2023-12-28', 'service': 'CP98aSCs'}, 'record_id': 51, 'record_count': '52/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3632094, 'date_of_service': '2023-12-28', 'service': 'CP98aSCs'}, 'record_id': 52, 'record_count': '53/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3053740, 'date_of_service': '2023-12-28', 'service': 'CP98aSCs'}, 'record_id': 53, 'record_count': '54/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3053692, 'date_of_service': '2023-12-28', 'service': 'CP98aSCs'}, 'record_id': 54, 'record_count': '55/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1735152, 'date_of_service': '2023-12-28', 'service': 'CP98aSCs'}, 'record_id': 55, 'record_count': '56/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3778907, 'date_of_service': '2023-12-28', 'service': 'CP98aSCs'}, 'record_id': 56, 'record_count': '57/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3038947, 'date_of_service': '2023-12-28', 'service': 'CP98aSCs'}, 'record_id': 57, 'record_count': '58/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4045776, 'date_of_service': '2023-12-28', 'service': 'CP98aSCs'}, 'record_id': 58, 'record_count': '59/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3469203, 'date_of_service': '2023-12-28', 'service': 'CP98aSCs'}, 'record_id': 59, 'record_count': '60/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1951851, 'date_of_service': '2023-12-28', 'service': 'CP98aSCs'}, 'record_id': 60, 'record_count': '61/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4289656, 'date_of_service': '2023-11-25', 'service': 'CP210aHEs'}, 'record_id': 61, 'record_count': '62/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3422108, 'date_of_service': '2023-11-25', 'service': 'CP210aHEs'}, 'record_id': 62, 'record_count': '63/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4663313, 'date_of_service': '2023-11-14', 'service': 'CP23HEs'}, 'record_id': 63, 'record_count': '64/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3677708, 'date_of_service': '2023-11-14', 'service': 'CP23HEs'}, 'record_id': 64, 'record_count': '65/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3040029, 'date_of_service': '2023-11-14', 'service': 'CP23HEs'}, 'record_id': 65, 'record_count': '66/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1975433, 'date_of_service': '2023-11-14', 'service': 'CP23HEs'}, 'record_id': 66, 'record_count': '67/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3677206, 'date_of_service': '2023-09-22', 'service': 'CP96SCs'}, 'record_id': 67, 'record_count': '68/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3970353, 'date_of_service': '2023-09-22', 'service': 'CP96SCs'}, 'record_id': 68, 'record_count': '69/68'}
